,rank/position,player name,Team,rating,career best rating
70,"
                                    71
                                ","<a href=""/rankings/mens/player-rankings/1902"">Kyle Mayers</a>","<span class=""table-body__logo-text"">WI</span>","<td class=""table-body__cell rating"">431</td>","<span class=""rankings-table__pos-number"">
                                    71
                                </span>"
71,"
                                    72
                                ","<a href=""/rankings/mens/player-rankings/2827"">Jatinder Singh</a>","<span class=""table-body__logo-text"">OMA</span>","<td class=""table-body__cell rating"">427</td>","<span class=""rankings-table__pos-number"">
                                    72
                                </span>"
72,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/5229"">Rayyan Pathan</a>","<span class=""table-body__logo-text"">CAN</span>","<td class=""table-body__cell rating"">427</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
73,"
                                    74
                                ","<a href=""/rankings/mens/player-rankings/4689"">Mohammad Naim</a>","<span class=""table-body__logo-text"">BAN</span>","<td class=""table-body__cell rating"">426</td>","<span class=""rankings-table__pos-number"">
                                    74
                                </span>"
74,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/2837"">Zeeshan Maqsood</a>","<span class=""table-body__logo-text"">OMA</span>","<td class=""table-body__cell rating"">426</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
75,"
                                    76
                                ","<a href=""/rankings/mens/player-rankings/2989"">Lorcan Tucker</a>","<span class=""table-body__logo-text"">IRE</span>","<td class=""table-body__cell rating"">425</td>","<span class=""rankings-table__pos-number"">
                                    76
                                </span>"
76,"
                                    77
                                ","<a href=""/rankings/mens/player-rankings/1231"">Craig Williams</a>","<span class=""table-body__logo-text"">NAM</span>","<td class=""table-body__cell rating"">422</td>","<span class=""rankings-table__pos-number"">
                                    77
                                </span>"
77,"
                                    78
                                ","<a href=""/rankings/mens/player-rankings/1129"">Sikandar Raza</a>","<span class=""table-body__logo-text"">ZIM</span>","<td class=""table-body__cell rating"">418</td>","<span class=""rankings-table__pos-number"">
                                    78
                                </span>"
78,"
                                    =
                                ","<a href=""/rankings/mens/player-rankings/1102"">Sean Williams</a>","<span class=""table-body__logo-text"">ZIM</span>","<td class=""table-body__cell rating"">418</td>","<span class=""rankings-table__pos-number"">
                                    =
                                </span>"
79,"
                                    80
                                ","<a href=""/rankings/mens/player-rankings/"">Harry Brook</a>","<span class=""table-body__logo-text"">ENG</span>","<td class=""table-body__cell rating"">416</td>","<span class=""rankings-table__pos-number"">
                                    80
                                </span>"
